0,04-00
1,48÷08
2,14-04
3,07-06
4,05×00
5,03×07
6,06÷02
7,09+06
8,40÷05
9,17-05
10,01-00
11,05+02
12,18-01
13,11-03
14,06÷01
15,03+06
16,08+08
17,30÷03
18,05-03
19,18÷09
20,10÷05
21,03-01
22,35÷07
23,28÷04
24,07×05
25,03+05
26,04÷04
27,15-07
28,05-05
29,06+03
30,12+01
31,05×00
32,06×01
33,01+02
34,08+04
35,28÷04
36,06÷03
37,18-05
38,07+19
39,14-06
40,12÷03
41,06-05
42,32÷08
43,14+09
44,18÷09
45,02+07
46,08×05
47,02+12
48,16÷02
49,06×04
50,04+18
51,12-03
52,10×02
53,06×02
54,03+01
55,19-03
56,05×06
57,09+14
58,08÷04
59,04+05
60,07+18
61,08-00
62,06-02
63,30÷03
64,14+02
65,06×05
66,05+04
67,32÷04
68,03÷03
69,45÷09
70,27÷09
71,02+00
72,06÷01
73,14+00
74,02×09
75,70÷07
76,18÷06
77,20÷02
78,16÷08
79,35÷07
80,54÷06
81,10×01
82,64÷08
83,07-05
84,17-00
85,72÷09
86,03-00
87,06+05
88,05×07
89,18-08
90,08-08
91,15-01
92,06-01
93,07-02
94,20÷04
95,06×07
96,16-03
97,08-03
98,10×00
99,08+02
100,08×02
101,19-05
102,06-00
103,04×06
104,54÷06
105,07×05
106,06×05
107,04÷04
108,07-01
109,02+08
110,15-08
111,07+09
112,07+15
113,18-09
114,08÷04
115,24÷06
116,01×02
117,72÷09
118,08×07
119,13-08
120,08-03
121,54÷09
122,63÷09
123,63÷07
124,08+06
125,21÷07
126,17+03
127,12÷04
128,03-02
129,08-02
130,14+07
131,10+06
132,10÷01
133,02÷01
134,49÷07
135,05-02
136,08×01
137,08-07
138,13+04
139,03×02
140,01+00
141,08-01
142,04×06
143,07+07
144,40÷05
145,05+06
146,18+09
147,10+05
148,01+09
149,08-04
150,05×06
151,24÷04
152,13-06
153,09÷01
154,16÷02
155,01+04
156,15-00
157,07-01
158,81÷09
159,06-03
160,09-09
161,17+01
162,06÷06
163,04×08
164,45÷05
165,16-01
166,17-01
167,02×06
168,04+04
169,09+05
170,14-06
171,05÷05
172,03-01
173,01+04
174,11-04
175,01+01
176,14+08
177,06÷03
178,12+03
179,04+02
180,16-01
181,01+04
182,49÷07
183,02+12
184,27÷03
185,14÷02
186,05×01
187,45÷09
188,06+08
189,06-03
190,03×09
191,04×01
192,04×04
193,09+09
194,18-01
195,04÷02
196,02×03
197,03×02
198,06+18
199,06-02
200,07-03
201,01×04
202,14-05
203,24÷08
204,07+12
205,09÷19
206,09-04
207,06÷01
208,54÷06
209,02÷02
210,12÷03
211,15+02
212,18-09
213,11-01
214,09-03
215,09+02
216,09÷09
217,02+04
218,10×05
219,01-01
220,09-06
221,03+14
222,04+07
223,08-03
224,18-08
225,09×01
226,10-05
227,15-09
228,14÷02
229,04+07
230,10×02
231,04÷01
232,10×06
233,17+07
234,05×01
235,18÷03
236,11-03
237,14-06
238,14-01
239,40÷05
240,08×09
241,63÷09
242,07+09
243,10×08
244,06×04
245,08×05
246,48÷06
247,04×08
248,14+09
249,10×00
250,05÷01
251,01×06
252,15-04
253,10-06
254,35÷05
255,45÷09
256,40÷04
257,05-02
258,17-09
259,01+02
260,10×09
261,30÷05
262,06+03
263,02-01
264,05×06
265,12-00
266,10+08
267,08-07
268,09×00
269,07-02
270,06×07
271,03×09
272,13+00
273,05×05
274,06×08
275,01+03
276,02×08
277,15-03
278,30÷06
279,08×09
280,48÷08
281,02+15
282,03÷01
283,19+02
284,25÷05
285,30÷05
286,07+00
287,12÷06
288,07×02
289,16-06
290,05÷05
291,17-04
292,04+17
293,09×03
294,02×08
295,01+14
296,08÷08
297,05×01
298,07×05
299,19-00
300,14+06
301,01×06
302,14÷02
303,04×07
304,13+02
305,02÷01
306,01+08
307,05-00
308,10-08
309,01×03
310,05-03
311,16-02
312,08×07
313,05-02
314,14-07
315,72÷09
316,81÷09
317,06÷02
318,08+03
319,25÷05
320,18÷09
321,02÷01
322,05+05
323,05+06
324,07-07
325,16÷02
326,04+01
327,09-05
328,01+05
329,00+13
330,03÷03
331,06×02
332,00+06
333,36÷09
334,05×05
335,00+04
336,07-00
337,03×02
338,36÷04
339,10×03
340,16-08
341,03-00
342,20÷05
343,10×01
344,07-03
345,05+06
346,11-09
347,10×00
348,15÷03
349,12+09
350,10×00
351,05+08
352,09+19
353,11-08
354,06×01
355,06÷02
356,09×05
357,01-00
358,12+02
359,02+00
360,09-08
361,04+18
362,49÷07
363,02×08
364,00+08
365,00+09
366,35÷07
367,16-08
368,06×08
369,06-00
370,36÷04
371,09+01
372,54÷09
373,04×01
374,01×00
375,09÷01
376,06-05
377,04×05
378,10+03
379,14-00
380,06×02
381,09÷03
382,03+06
383,04+03
384,10×00
385,10-09
386,54÷06
387,01-00
388,02+08
389,05×08
390,07+17
391,11-07
392,17-01
393,08-01
394,07-06
395,63÷09
396,06÷01
397,16+02
398,72÷09
399,04÷01
400,15-02
401,35÷05
402,05-01
403,10×02
404,32÷04
405,35÷05
406,07×07
407,06+10
408,32÷08
409,07+08
410,04+00
411,06÷06
412,01×03
413,02-01
414,64÷08
415,02+08
416,60÷06
417,15-03
418,05+11
419,06-00
420,05÷01
421,27÷09
422,08×06
423,32÷08
424,09÷09
425,13-01
426,00-00
427,24÷08
428,04×04
429,06-03
430,07×09
431,72÷09
432,04+00
433,03-00
434,10×05
435,06+02
436,09÷03
437,45÷05
438,09×08
439,35÷07
440,10×01
441,07-05
442,08×01
443,12÷02
444,18+05
445,12-00
446,04+09
447,09×00
448,06×00
449,08×04
450,30÷06
451,36÷06
452,72÷08
453,06÷01
454,15-07
455,04+18
456,01×09
457,02×07
458,32÷08
459,80÷08
460,10-06
461,30÷05
462,08-01
463,05×00
464,28÷04
465,08-00
466,05+16
467,10-04
468,15+07
469,05+00
470,06+01
471,14-01
472,09×06
473,12÷06
474,14-02
475,48÷06
476,01+05
477,07×07
478,27÷09
479,09+06
480,45÷09
481,19-03
482,02×08
483,09-07
484,04-02
485,08+15
486,12-04
487,03+10
488,07-07
489,09-06
490,11-00
491,02×02
492,10+01
493,06×02
494,06÷01
495,16÷02
496,36÷04
497,80÷08
498,05+13
499,04×02
